DESCRIPTIO,SITE,SITEDESCRI,Category,
Flying Fox,23971,Playtime Park,Flying Fox,
Flying Fox,10389,Gribblehirst Park,Flying Fox,
Flying Fox,10278,West Reserve,Flying Fox,
Flying fox,20894,Turner Reserve,Flying fox,
Flying Fox,10179,Maungawhau Domain (Mt Eden),Flying Fox,
Flying Fox,10361,Patteson Reserve,Flying Fox,
Flying Fox,10396,Mt Albert War Memorial Reserve,Flying Fox,
Fort module,10063,Roberta Reserve,Fort module,
Four bay swing,10424,Madills Farm Recreation Reserve,Four bay swing,
GATE-S end Res in green steel fence,10950,North Shore Memorial Park,GATE-S end Res in green steel fence,
GATE-S end Res in green steel fence,10950,North Shore Memorial Park,GATE-S end Res in green steel fence,
Goal Posts - Steel-Rugby,22326,Whiteacres Park,Goal Posts - Steel-Rugby,
Grasshopper rocker,10253,Waiatarua Reserve (Remuera),Grasshopper rocker,
Gyroscope spinner,10424,Madills Farm Recreation Reserve,Gyroscope spinner,
Hags spiker,21190,Bluestone Park,Hags spiker,
Hip Hop See Saw,10179,Maungawhau Domain (Mt Eden),Hip Hop See Saw,
Hip Hop seesaw,10377,Arthur Faulkner Reserve,Hip Hop seesaw,
Hip Hop Seesaw,10314,Medlands Playground Reserve,Hip Hop Seesaw,
HOOP-basketball-on basketball court,10932,Meadowood Reserve,HOOP-basketball-on basketball court,
Horn,10037,Gladstone Park,Horn,
In-ground trampolines,10424,Madills Farm Recreation Reserve,In-ground trampolines,
Jungle Cube,10244,Buckley Road Reserve,Jungle Cube,
Junior activity table,10396,Mt Albert War Memorial Reserve,Junior activity table,
Junior module,10258,Ruapotaka Reserve,Junior module,
Junior module,10348,Western Springs Lakeside,Junior module,
Junior module,23106,Torino Reserve,Junior module,
Junior Module,10396,Mt Albert War Memorial Reserve,Junior Module,
Junior module,21571,Swainston Reserve,Junior module,
Junior module,10286,Potters Park,Junior module,
Junior module,10348,Western Springs Lakeside,Junior module,
Junior module,10154,Selwyn Reserve - Mission Bay,Junior module,
Junior Module,10365,Keith Hay Park,Junior Module,
Junior Module,10179,Maungawhau Domain (Mt Eden),Junior Module,
Junior Module,21004,Sainsbury Reserve North,Junior Module,
Junior Module,21390,Tole Reserve,Junior Module,
Junior Module,10065,Murray Halberg Park,Junior Module,
Junior module,10288,Waterview Reserve,Junior module,
Junior Rocker,10244,Buckley Road Reserve,Junior Rocker,
Junior Slide,10277,Myers Park,Junior Slide,
Junior slide module,10029,Rutherford Reserve,Junior slide module,
Junior Slide unit,10356,Western Park - Freemans Bay,Junior Slide unit,
Junior Swing,10277,Myers Park,Junior Swing,
Junior Swing,10277,Myers Park,Junior Swing,
Junior swing - single,10048,Heron Park,Junior swing - single,
Junior Swings,10362,One Tree Hill Domain,Junior Swings,
Junior Swings,21343,Talbot Reserve,Junior Swings,
Junior unit,21133,Taumata Reserve,Junior unit,
Kompan pyramid climbing net,10050,Coyle Park,Kompan pyramid climbing net,
Large Fort,21798,Okahu Bay Reserve,Large Fort,
Large module,20654,Tin Boat Reserve,Large module,
Large module,10155,Grey Lynn Park,Large module,
Large module,10442,Palm Beach Reserve,Large module,
Large module,23134,Lavas Reserve,Large module,
Large module,23080,Celtic Crescent Reserve,Large module,
Large module,10407,Mt Wellington War Memorial Reserve,Large module,
Large module,10239,Thompson Park,Large module,
Large module,21866,St Heliers Bay Beach Reserve,Large module,
Large module,10218,Glover Park,Large module,
Large module,10037,Gladstone Park,Large module,
Large module-Centre Resreve,21398,Twomey Drive Reserve,Large module-Centre Resreve,
Large seesaw,23096,Kupe North Reserve,Large seesaw,
Lat Pull Down On High Side Of Reserve,21292,Somerville Park,Lat Pull Down On High Side Of Reserve,
Leg Press On High Side Of Reserve,21292,Somerville Park,Leg Press On High Side Of Reserve,
Liberty Swing,10396,Mt Albert War Memorial Reserve,Liberty Swing,
Liberty Swing,10362,One Tree Hill Domain,Liberty Swing,
Liberty Swing,21798,Okahu Bay Reserve,Liberty Swing,
Logs-Opposite Pukekohe High School,10531,Bledisloe Park - Franklin,Logs-Opposite Pukekohe High School,
Loose Fill - Bark Above Ground-23001,22699,Kingseat Recreation Reserve,Loose Fill - Bark Above Ground-23001,
Loose Fill - Bark Below Ground-23000,22699,Kingseat Recreation Reserve,Loose Fill - Bark Below Ground-23000,
Low Tunnel,21444,Tirotai Reserve,Low Tunnel,
Lullabye basket swing,10381,Margaret Griffen Park,Lullabye basket swing,
Luna spinner,21806,Wharua Reserve,Luna spinner,
Luna spinner,10034,May Road War Memorial Park,Luna spinner,
Lunar,21390,Tole Reserve,Lunar,
Lunar net,10288,Waterview Reserve,Lunar net,
Lunar spinner,21196,Taylors Park,Lunar spinner,
Lunar spinner,10381,Margaret Griffen Park,Lunar spinner,
Lunar Spinner,23081,Commissariat Reserve,Lunar Spinner,
Lunar Spinner,10063,Roberta Reserve,Lunar Spinner,
Lunar Spinner,21523,Flat Rock Reserve,Lunar Spinner,
Medium Module,23971,Playtime Park,Medium Module,
Mesh wall,10365,Keith Hay Park,Mesh wall,
Modern Modular (Large) (Snr) -22004,22847,Otamariki Park,Modern Modular (Large) (Snr) -22004,
Modern Modular (Small) (Snr) -22008,10759,Maraetai Park,Modern Modular (Small) (Snr) -22008,
Modular Unit (Small),22898,Possum Bourne Reserve,Modular Unit (Small),
Module,10058,Tin Tacks Reserve,Module,
Module,10303,Warren Freer Park,Module,
Module,10151,Nixon Park,Module,
Module,23078,Old Mill Reserve,Module,
Module,10050,Coyle Park,Module,
Module,10425,Claris Playground,Module,
Module,21396,Vermont Reserve,Module,
Module,21481,Buchanan Park,Module,
Module,23100,Ascot Park,Module,
Module,20955,Sackville Reserve,Module,
Module,10020,Panmure Basin,Module,
Module,21173,Braemar Reserve,Module,
Module,10178,Centennial Park,Module,
Module,10197,Elstree North Reserve,Module,
Module,23103,Fong Reserve,Module,
Module,10340,Onehunga Bay Reserve,Module,
Module,10394,Fowlds Park,Module,
Module,10257,Little Oneroa Reserve,Module,
Module,23084,Bonnie Brae Reserve,Module,
Module,21806,Wharua Reserve,Module,
Module,21177,Stranolar Reserve,Module,
Module,10200,Victoria Park,Module,
Module,10176,Maybury Reserve,Module,
Module,10415,Melville Park,Module,
Module,10198,Fearon Park,Module,
Module,21416,Premier Reserve,Module,
Module,10028,Waiheke Island Sports Club,Module,
Module,10441,Michaels Avenue Reserve,Module,
Module,21052,Rawalpindi Reserve,Module,
Module,10116,Little Rangitoto Reserve,Module,
Module,10387,Pt Erin Park,Module,
Module,10050,Coyle Park,Module,
Module,10244,Buckley Road Reserve,Module,
Module,10321,Eric Armishaw Park,Module,
Module,10416,Griffin Reserve,Module,
Module,20865,Arthur S Richards Memorial Park,Module,
Module,10250,Waikowhai Park,Module,
Module,10373,Savage Park,Module,
Module,10266,Point England Reserve,Module,
Module,10253,Waiatarua Reserve (Remuera),Module,
Module,21015,Bellevue Reserve,Module,
Module,20869,Aitken Reserve,Module,
Module,10034,May Road War Memorial Park,Module,
Module,10312,Sandringham Reserve,Module,
Module,10245,Mary Wilson Reserve,Module,
Module,10269,Fergusson Domain,Module,
Module,10381,Margaret Griffen Park,Module,
Module,20930,Virginia Reserve,Module,
Module,21190,Bluestone Park,Module,
Module,10020,Panmure Basin,Module,
Module,10315,Jellicoe Park & Onehunga War Mem Pools,Module,
Module,10408,Crossfield Reserve,Module,
Module,10029,Rutherford Reserve,Module,
Module,21543,Wairaki Stream Reserve 1,Module,
Module,10425,Claris Playground,Module,
Module,23058,Moa Reserve,Module,
Module,10444,Nicholson Park,Module,
Module,21077,Harbutt Reserve,Module,
Module,10441,Michaels Avenue Reserve,Module,
Module,10351,Owairaka Park,Module,
Module,21803,Wairua Reserve,Module,
Module,10408,Crossfield Reserve,Module,
Module,21356,Arch Hill Scenic Reserve,Module,
Module,10033,Kupe Reserve,Module,
Module,10035,Ostend Domain,Module,
Module,20672,Mulberry Grove Reserve & School,Module,
Module,20939,Robinson Reserve,Module,
Module,10253,Waiatarua Reserve (Remuera),Module,
Module,10319,Surfdale Hall Reserve & Foreshore,Module,
Module,10072,Streetscape - Maungakiekie-Tamaki,Module,
Module,10377,Arthur Faulkner Reserve,Module,
Module,10304,Salisbury Reserve,Module,
Module,21011,Costley Reserve,Module,
Module,21145,Edenvale Park,Module,
Module,21523,Flat Rock Reserve,Module,
Module,21705,Bert Henham Park,Module,
Module,10271,Riverside Community Centre,Module,
Module,10314,Medlands Playground Reserve,Module,
Module,21153,Essex Road Reserve,Module,
Module - Bibox,10361,Patteson Reserve,Module - Bibox,
Module - Bibox,21561,Ruka Reserve,Module - Bibox,
Module - climbing,10319,Surfdale Hall Reserve & Foreshore,Module - climbing,
Module - Green Slide,21145,Edenvale Park,Module - Green Slide,
Module - junior,10348,Western Springs Lakeside,Module - junior,
Module - Junior balance,21383,Kuaka Park,Module - Junior balance,
Module - Junior unit,21383,Kuaka Park,Module - Junior unit,
Module - large,20672,Mulberry Grove Reserve & School,Module - large,
Module - large,10265,Coxs Bay Reserve,Module - large,
Module - senior,20795,Gooseberry Flat,Module - senior,
"Module - slide, cable commando sail, hut",10278,West Reserve,"Module - slide, cable commando sail, hut",
"Module - slide, climbers, sway bridge",21081,Quona Reserve,"Module - slide, climbers, sway bridge",
Module - small,10265,Coxs Bay Reserve,Module - small,
Module - small,21444,Tirotai Reserve,Module - small,
Module - small slide,10022,Leicester Hall,Module - small slide,
"Module - tree hut, slides, cables",10255,School Reserve,"Module - tree hut, slides, cables",
Module fitness,10034,May Road War Memorial Park,Module fitness,
Module Junior,21137,John Moore Reserve,Module Junior,
Module junior,21343,Talbot Reserve,Module junior,
Module junior,10343,Pollard Park,Module junior,
Module junior,10211,Lynfield Reserve,Module junior,
Module junior,10004,Walker Park,Module junior,
Module Junior,10000,Francis Reserve,Module Junior,
Module Medium,21303,West Tamaki Reserve,Module Medium,
Module play unit,10241,Konini Reserve,Module play unit,
Module senior,21571,Swainston Reserve,Module senior,
Module Senior,21137,John Moore Reserve,Module Senior,
Module senior,10286,Potters Park,Module senior,
Module slide,20894,Turner Reserve,Module slide,
Module Small,21408,Home Reserve,Module Small,
Monkey bars,10265,Coxs Bay Reserve,Monkey bars,
Monkey Bars,10356,Western Park - Freemans Bay,Monkey Bars,
Monkey bars,20708,Kotuku Reserve,Monkey bars,
Mouse House,21137,John Moore Reserve,Mouse House,
Net Climber large,10365,Keith Hay Park,Net Climber large,
Observatory Starfinder,10362,One Tree Hill Domain,Observatory Starfinder,
Open Tile -Allsafe-23001,10825,Middlemore Park,Open Tile -Allsafe-23001,
Open Tile -Allsafe-23003,20233,Derrimore Park,Open Tile -Allsafe-23003,
Overhead bars,10356,Western Park - Freemans Bay,Overhead bars,
Overhead bars,10356,Western Park - Freemans Bay,Overhead bars,
Overhead bars,10304,Salisbury Reserve,Overhead bars,
Overhead climber,10286,Potters Park,Overhead climber,
Overhead Climber,20939,Robinson Reserve,Overhead Climber,
Overhead climber,10037,Gladstone Park,Overhead climber,
Overhead Rings,20708,Kotuku Reserve,Overhead Rings,
Overhead spinner,21190,Bluestone Park,Overhead spinner,
Overhead spinner,10253,Waiatarua Reserve (Remuera),Overhead spinner,
Overhead spinner,20708,Kotuku Reserve,Overhead spinner,
Parallel Bars,20708,Kotuku Reserve,Parallel Bars,
Parkour Unit,10034,May Road War Memorial Park,Parkour Unit,
PLAQ-Spinning wheel - numbered,11087,Stanley Bay Park,PLAQ-Spinning wheel - numbered,
PLAT-Above slide,21540,Topland Park,PLAT-Above slide,
Play - Balancing Bar-22006,22940,Mangere Domain (Non Leased),Play - Balancing Bar-22006,
Play - Climbing Frame-22000,20776,Growers Stadium & Stadium No. 2,Play - Climbing Frame-22000,
Play - Climbing Frame-22001,23007,Manuroa Reserve,Play - Climbing Frame-22001,
Play - Climbing Frame-22002,10535,Massey Park - Waiuku,Play - Climbing Frame-22002,
Play - Climbing Frame-22002,20776,Growers Stadium & Stadium No. 2,Play - Climbing Frame-22002,
Play - Climbing Frame-22006,10535,Massey Park - Waiuku,Play - Climbing Frame-22006,
Play - Flying Fox,22977,Samuel Miller Park (Nelson St Reserve),Play - Flying Fox,
Play - Modern Modular (Large)-22000,10887,Te Puru Park,Play - Modern Modular (Large)-22000,
Play - Modern Modular (Large)-22000,21476,Berwyn Reserve,Play - Modern Modular (Large)-22000,
Play - Modern Modular (Large)-22000,10531,Bledisloe Park - Franklin,Play - Modern Modular (Large)-22000,
Play - Modern Modular (Large)-22000,20246,Clydesdale Park,Play - Modern Modular (Large)-22000,
Play - Modern Modular (Large)-22001,23074,Challen Reserve,Play - Modern Modular (Large)-22001,
Play - Modern Modular (Large)-22001,22699,Kingseat Recreation Reserve,Play - Modern Modular (Large)-22001,
Play - Modern Modular (Large)-22001,20833,Hanford Place Foreshore,Play - Modern Modular (Large)-22001,
Play - Modern Modular (Large)-22002,21495,Times Place Recreation Reserve,Play - Modern Modular (Large)-22002,
Play - Modern Modular (Large)-22002,21791,Burswood Park,Play - Modern Modular (Large)-22002,
Play - Modern Modular (Large)-22003,20570,Anderson Park (Grand Vue Road Reserve),Play - Modern Modular (Large)-22003,
Play - Modern Modular (Large)-22003,20298,Crown Park,Play - Modern Modular (Large)-22003,
Play - Modern Modular (Large)-22004,10652,Omana Esplanade,Play - Modern Modular (Large)-22004,
Play - Modern Modular (Large)-22004,10691,East Tamaki Reserve,Play - Modern Modular (Large)-22004,
Play - Modern Modular (Large)-22004,22755,Manukau Park,Play - Modern Modular (Large)-22004,
Play - Modern Modular (Large)-22005,22847,Otamariki Park,Play - Modern Modular (Large)-22005,
Play - Modern Modular (Large)-22005,10629,David Nathan Park,Play - Modern Modular (Large)-22005,
Play - Modern Modular (Small)-22000,21715,Cargill Reserve,Play - Modern Modular (Small)-22000,
Play - Modern Modular (Small)-22000,21678,Purata Park,Play - Modern Modular (Small)-22000,
Play - Modern Modular (Small)-22001,21495,Times Place Recreation Reserve,Play - Modern Modular (Small)-22001,
Play - Modern Modular (Small)-22001,21723,Carisbrook Reserve,Play - Modern Modular (Small)-22001,
Play - Modern Modular (Small)-22001,21819,Brylee Drive Reserve,Play - Modern Modular (Small)-22001,
Play - Modern Modular (Small)-22001,10529,Clarks Beach Boat Ramp,Play - Modern Modular (Small)-22001,
Play - Modern Modular (Small)-22001,21791,Burswood Park,Play - Modern Modular (Small)-22001,
Play - Modern Modular (Small)-22002,23007,Manuroa Reserve,Play - Modern Modular (Small)-22002,
Play - Modern Modular (Small)-22003,20178,Wattle Downs Esplanade Reserve,Play - Modern Modular (Small)-22003,
Play - Modern Modular (Small)-22003,22792,Jutland Road Recreation Reserve,Play - Modern Modular (Small)-22003,
Play - Modern Modular (Small)-22003,22883,Premila Drive Reserve,Play - Modern Modular (Small)-22003,
Play - Modern Modular (Small)-22003,10759,Maraetai Park,Play - Modern Modular (Small)-22003,
Play - Modern Modular (Small)-22003,10535,Massey Park - Waiuku,Play - Modern Modular (Small)-22003,
Play - Modern Modular (Small)-22003,20812,Arline Schutz Park (Halver Park),Play - Modern Modular (Small)-22003,
Play - Modern Modular (Small)-22005,22940,Mangere Domain (Non Leased),Play - Modern Modular (Small)-22005,
Play - Modern Modular (Small)-22005,10652,Omana Esplanade,Play - Modern Modular (Small)-22005,
Play - Modern Modular (Small)-22007,10760,Swanson Park,Play - Modern Modular (Small)-22007,
Play - Modern Modular (Small)-22015,10751,David Lange Park,Play - Modern Modular (Small)-22015,
Play - Modern Modular (Small)-22016,10751,David Lange Park,Play - Modern Modular (Small)-22016,
Play - Rocktopus-22003,10531,Bledisloe Park - Franklin,Play - Rocktopus-22003,
Play - Rolling Log Unit-22000,10691,East Tamaki Reserve,Play - Rolling Log Unit-22000,
Play - Rolling Log Unit-22005,10535,Massey Park - Waiuku,Play - Rolling Log Unit-22005,
Play - Roundabout - Sit On-22002,22699,Kingseat Recreation Reserve,Play - Roundabout - Sit On-22002,
Play - Roundabout - Sit On-22004,10531,Bledisloe Park - Franklin,Play - Roundabout - Sit On-22004,
Play - Roundabout - Stand On-22002,22792,Jutland Road Recreation Reserve,Play - Roundabout - Stand On-22002,
Play - Roundabout-22000,20178,Wattle Downs Esplanade Reserve,Play - Roundabout-22000,
Play - Sail Boat-22001,20178,Wattle Downs Esplanade Reserve,Play - Sail Boat-22001,
Play - Scale Swing-22000,10535,Massey Park - Waiuku,Play - Scale Swing-22000,
Play - Scale Swing-22003,22699,Kingseat Recreation Reserve,Play - Scale Swing-22003,
Play - Seesaw-22000,22847,Otamariki Park,Play - Seesaw-22000,
Play - Seesaw-22001,22883,Premila Drive Reserve,Play - Seesaw-22001,
Play - Seesaw-22006,22755,Manukau Park,Play - Seesaw-22006,
Play - Seesaw-22008,10760,Swanson Park,Play - Seesaw-22008,
Play - Slide-22001,10691,East Tamaki Reserve,Play - Slide-22001,
Play - Slide-22001,21244,Te Toro Recreation Reserve,Play - Slide-22001,
Play - Slide-22002,20178,Wattle Downs Esplanade Reserve,Play - Slide-22002,
Play - Slide-22003,23074,Challen Reserve,Play - Slide-22003,
Play - Soccer Goalpost Nets,20246,Clydesdale Park,Play - Soccer Goalpost Nets,
Play - Soccer Goalpost Nets,20246,Clydesdale Park,Play - Soccer Goalpost Nets,
Play - Spinning Cup-22007,22940,Mangere Domain (Non Leased),Play - Spinning Cup-22007,
Play - Spinning Cup-22013,10751,David Lange Park,Play - Spinning Cup-22013,
Play - Spring Saw-22001,22887,Proude Reserve,Play - Spring Saw-22001,
Play - Spring Saw-22002,20298,Crown Park,Play - Spring Saw-22002,
Play - Spring Saw-22003,20246,Clydesdale Park,Play - Spring Saw-22003,
Play - Spring Saw-22012,10751,David Lange Park,Play - Spring Saw-22012,
Play - Springy Animal-22002,22883,Premila Drive Reserve,Play - Springy Animal-22002,
Play - Springy Animal-22005,10531,Bledisloe Park - Franklin,Play - Springy Animal-22005,
Play - Springy Animal-22008,22847,Otamariki Park,Play - Springy Animal-22008,
Play - Swing Unit-22000,23074,Challen Reserve,Play - Swing Unit-22000,
Play - Swing Unit-22000,23007,Manuroa Reserve,Play - Swing Unit-22000,
